gestao_obras_id;codigo;nome_gestao_obras;erp_equipamento_id
moul187ez7xo7;;Caminhão de Apoio - Jorgean;4476c940-0882-4faf-ad58-dee7ea1f572d
mou6tiu2cl7xx;P-002;Assoprador;49126781-641c-4412-b7f0-5127af169920
mc-001;MC-001;Bobcat MC110C - 01;9ed2a2a3-d12a-43da-a3cc-0cc0aa1823c1
moul02cymgzg1;MC-002;Bobcat S450 - 02;2d871602-2ba9-4dc4-a971-5ce4282e0d06
mrzeiiyn8vfdm;MT-02;Bros 160;28e94063-3bd0-4757-a324-b5cfb3551f1f
mrzei84m0mv7b;MT-01;Bros 160;b8d60032-4ba0-47e2-aac3-2fad8e964c36
cbt-001;CBT-001;Caminhão Betoneira MZO-9678 - 01;0d4543ca-b944-40e0-924c-89b65b29fde4
cb-001;CB-001;Caminhão Caçamba 2423 K/36 MZO-5897 - 01;ed1907ad-15b5-4967-82ba-3dced6ca28f2
cb-002;CB-002;Caminhão Caçamba 2423 K/36 MZO-8547 - 02;4bb6afa5-677a-475a-9868-73d46f9045b7
cb-003;CB-003;Caminhão Caçamba 2423 K/36 MZO-8F87 - 03;a15fff61-7fd6-445e-b43b-2de0a1bb3121
cb-006;CB-006;Caminhão Caçamba 2425/48 NAB-4619 - 06;ad98869d-2662-42ed-8642-3013ab6306f2
cb-005;CB-005;Caminhão Caçamba 2425/48 NAB-4669 - 05;9d92fe87-5745-466e-9027-7524bbd15eb2
cb-004;CB-004;Caminhão Caçamba 2425/48 NAB-4679 - 04;fa0a5077-d2c0-4087-a48a-57ed742e878d
mq6w70ax6j0i7;;Caminhão Caçamba Alugado - JXS6G76;27902463-c18e-41b3-b4a6-51f55d6aa312
mpwunvfl2vj3x;;Caminhão Caçamba Alugado/ NAA-4511;8e60d91c-fdd6-4e56-8ef4-e0f5b1ac5275
col-cb-02;COL-CB-02;Caminhão Caçamba Colorado - 02;37852e9c-c020-4f8b-8ce3-50dd794e3d4f
col-cb-04;COL-CB-04;Caminhão Caçamba Colorado - 04;af7094fb-54f5-4039-bac0-59152540049e
col-cb-25;COL-CB-25;Caminhão Caçamba Colorado - 25- NOK1G58;80513914-e998-4893-92f6-8e07dd28cf6a
col-cb-32;COL-CB-32;Caminhão Caçamba Colorado - 32;5ab234cf-c44c-4a0b-8ae1-32e11c8cb035
moukwzmxhg9eo;;Caminhão Caçamba Colorado - 35;3ce54b89-4c19-48e4-b670-620dc5617aba
col-cb-37;COL-CB-37;Caminhão Caçamba Colorado - 37;e7b1c1c1-2b0d-495a-8fd2-3ef9b4b6522a
col-cb-40;COL-CB-40;Caminhão Caçamba Colorado - 40;e249f13c-f42d-4dc8-b46b-621e0aa55d3d
mp8hsjj6dezu9;;Caminhão Caçamba NAA-4511;8e60d91c-fdd6-4e56-8ef4-e0f5b1ac5275
cs-001;CS-001;Caminhão Cavalo 2644 S/33 MZO-2987 - 01;205db27c-965a-4b4a-b132-eb0382317b42
cs-002;CS-002;Caminhão Cavalo XF 530 FTT SQS7E01 - 02;a28fdbd8-e59f-4509-ab95-1683ac3a2036
