gestao_obras_id;nome_gestao_obras;cnpj_gestao_obras;eh_transportadora;eh_dona_de_tanque;taxa_litro_padrao;usos;erp_fornecedor_id;erp_razao_social;erp_cnpj;metodo;confianca;observacao
mrcb7bplsl9wa;AGRO PARTS;;false;false;0.0000;entradas_material:9;0e3d91b2-31d3-4d4d-a879-1badb7970584;AGRO PARTS COMERCIO LTDA;49049295000180;nome_normalizado;alta;casou pelo nome_fantasia AGRO PARTS
mn921nnyuvp1t;Andrade Transporte;;true;false;0.0000;fretes:92,movimentos:333,pagamentos_frete:5,saidas_combustivel:234;db6b5154-5e4f-42cc-beae-8086a3ad8516;ANDRADE JUNIOR SERVIÇOS DE TRANSPORTES LTDA;11024598000175;tabela_6_1;alta;"sem casamento por nome; tabela 6.1. NAO e a ANDRADE CONSTRUÇÕES TERRAPLANAGEM E PAVIMENTAÇÃO LTDA (0a6e00d8-92bf-ae02-7a46-ec4ddaaa0283, CNPJ 05659781000144)"
mlppmxan37tev;Areacre;;true;true;0.0000;depositos:1,fretes:498,movimentos:1208,pagamentos_frete:77,saidas_combustivel:311;783c2db2-c6bc-40a5-8a7a-eea9e2f17e84;JOSIAS O DA SILVA LTDA;19892960000131;nome_normalizado;certa;"casou pelo nome_fantasia Areacre, unico candidato; decisao do Tiago: Areacre e Areacre - Josias viram este fornecedor. Conta corrente e a soma dos dois ids da origem"
mrcb7pnjcwgrn;Areacre - Josias;;false;false;0.0000;entradas_material:4;783c2db2-c6bc-40a5-8a7a-eea9e2f17e84;JOSIAS O DA SILVA LTDA;19892960000131;tabela_6_1;certa;"decisao do Tiago (tabela 6.1): funde com Areacre (mlppmxan37tev). Na origem este id tem eh_transportadora=false e eh_dona_de_tanque=false; o Areacre tem as duas true"
mrtlvdhgimrk5;Argamassa AS/ Grafifort;17.871.571/0002-85;false;false;0.0000;entradas_combustivel:4,entradas_material:1;ae0c04ca-c68f-f35c-c7b5-95d06c51845a;Argamassa AS - Graf Fort;17871571000285;cnpj;certa;mesmo CNPJ 17.871.571/0002-85
mrcb7t0cnnk9h;Atem Petroleo;;false;false;0.0000;entradas_combustivel:6;b94e6399-c2eb-41ea-af36-6ee561f03bc5;ATEM S DITRIBUIDORA DE PETROLEO S.;03987364000286;nome_normalizado;alta;"casou pelo nome_fantasia Atem Petroleo. A ORIGEM TEM 2 FORNECEDORES COM ESTE NOME (mrcb7t0cnnk9h e mpllm3usj6213); entradas_combustivel guarda o nome em texto, entao as mesmas 6 entradas aparecem nos dois ids (sao 6, nao 12)"
mpllm3usj6213;Atem Petroleo;;false;false;0.0000;entradas_combustivel:6;b94e6399-c2eb-41ea-af36-6ee561f03bc5;ATEM S DITRIBUIDORA DE PETROLEO S.;03987364000286;nome_normalizado;alta;"duplicata na origem de mrcb7t0cnnk9h (mesmo nome); as 6 entradas_combustivel sao as mesmas contadas no outro id. Os dois viram um so no ERP"
mrcb7u4otid05;AUTO ELETR. TEIXEIRA;;false;false;0.0000;entradas_material:18;dfb041b3-73bc-4707-b195-8b3ac021084f;M S TEIXEIRA;07156189000155;nome_normalizado;alta;casou pelo nome_fantasia AUTO ELETR. TEIXEIRA
mlqw3xx5ruc6d;Britam;;false;false;0.0000;pedidos_material:52;fd0a0138-163a-4ea5-9b00-039612981cde;BRITAS DA AMAZONIA MINERACAO E COMERCIO LTDA;14666956000131;tabela_6_1;alta;"fantasia ""BRITAS DA AMAZONIA MINERACAO E COMERCIO - BRITAM"""
mrjfx4i9y8g98;CASA DAS MÁQUINAS;;false;false;0.0000;entradas_material:4;7f089958-2f95-4d29-946c-ba2bd0961fcd;Casa da máquina;;tabela_6_1;media;"tabela 6.1 ja dizia media: sem CNPJ nos dois lados; singular x plural. Unico ""Casa da maquina"" no ERP"
mrcb8ri6wla88;CRUZEIRO PEÇAS;;false;false;0.0000;entradas_material:6;9d03142e-a001-480c-a69c-1f0022e5c886;CRUZEIRO PEÇAS;01031382000123;nome_normalizado;alta;
mrcb8run7qg7n;CS46-PEMAZA;;false;false;0.0000;entradas_material:40;af4feea8-b719-4280-bbf3-2ecb64490411;PEMAZA DISTRIBUIDORA DE AUTOPECAS E PNEUS LTDA;05215132003846;nome_normalizado;alta;casou pelo nome_fantasia CS46-PEMAZA
