gestao_obras_id;nome_gestao_obras;unidade_gestao_obras;tipo_oleo_gestao_obras;usos;saldo_origem;erp_insumo_id;erp_codigo;erp_nome;erp_unidade;erp_categoria;metodo;confianca;observacao
mtw187q3y7b6v;ABRAÇADEIRA NYLON;un;;entradas:1,os_pecas:1,os_oleos:0;0;d44f3059-35c4-4722-ab86-7ef408deb4e8;418;ABRAÇADEIRA NYLON;un;Rancho e alojamento;nome_exato;certa;
mt0kr8dh4ybeq;ADITIVO PARA-BRISA;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 995da4d8 ADITIVO LIMPA PARABRISA (un, Cimento, agregados e concreto) | sugestao: categoria Cimento, agregados e concreto (maioria dos insumos do ERP que comecam com ADITIVO), unidade un
mrmmx5u2w9bte;Aditivo Radiador Concentrado;L;Aditivo Radiador Concentrado;entradas:1,os_pecas:0,os_oleos:2;1;;;;;;CRIAR;media;parecidos, sem nome igual: 0bc3254e 1335M89 ADITIVO RADIADOR CONCENTRADO HIBRIDO (un, Cimento, agregados e concreto) | sugestao: categoria Cimento, agregados e concreto (maioria dos insumos do ERP que comecam com ADITIVO), unidade L
mrmmxmw5cfxdl;Água Desmineralizada p/ Bateria;L;Água Desmineralizada p/ Bateria;entradas:1,os_pecas:0,os_oleos:1;3;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Limpeza e escritório (maioria dos insumos do ERP que comecam com AGUA), unidade L
ms6lctp01alpn;ANEL;un;;entradas:4,os_pecas:4,os_oleos:0;0;c1cd4ab3-c10b-4be7-bcaf-aed356d55d5c;10101;ANEL;un;Peças e componentes;nome_exato;certa;
mu1rfmqx3ds80;Arla 20 L;BD;Arla;entradas:1,os_pecas:0,os_oleos:1;0;;;;;;CRIAR;baixa;"candidato por palavra-chave (revisar; origem em BD de 20 L; o ERP tem o galao de 20 L (un, 20 L por unidade) e o Arla em litro): ee40e2b3 1335M186 ARLA - GALÃO 20 LT (un, Combustível); bb57276b ARLA 32 - LITRO (L, Combustível) | sugestao: categoria Combustível (maioria dos insumos do ERP que comecam com ARLA), unidade BD | na origem os os_oleos deste insumo foram gravados em L (modal forca L); a quantidade do OS e em balde"
mrv74zrqmk05s;ARRUELA AJUSTE;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com ARRUELA), unidade un
mubm7vwymq0jg;ARRUELA LISA 1/4;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com ARRUELA), unidade un
mrtqsostd2zk9;ARRUELA PINO MOLA;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 38996ed0 134 ARRUELA DO PINO MOLA  DIANTEIRA (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com ARRUELA), unidade un
mt0i3xqha9r4e;ARRUELA PRESSÃO - CXP6;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com ARRUELA), unidade un
mu5zu43jnl7wj;BALANCA GUERRA ASA DELTA - PINO 50MM;un;;entradas:1,os_pecas:1,os_oleos:0;0;ad4e4015-461d-4721-af9c-3a6bdf3e84c4;;BALANÇA GUERRA ASA DELTA PINO 50MM;un;A classificar;nome_normalizado;alta;
mrnql8sn3yr9o;BARRA DIREÇÃO CURTA;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: c8b4beac 1335M415 BARRA DE DIREÇÃO CURTA MB AXOR 26/44 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BARRA), unidade un | NOME DUPLICADO na origem: o outro id e mrtqshm77l0j5; os dois vao para o mesmo insumo do ERP"
mrtqshm77l0j5;BARRA DIREÇÃO CURTA;un;;entradas:0,os_pecas:0,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: c8b4beac 1335M415 BARRA DE DIREÇÃO CURTA MB AXOR 26/44 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BARRA), unidade un | NOME DUPLICADO na origem: o outro id e mrnql8sn3yr9o; os dois vao para o mesmo insumo do ERP | este id nao tem uso (ativo=true na origem)"
mubl49biktxk5;BASE TAMPA D6N;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 8c6fce7f BASE TAMPA (un, Hidráulica) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BASE), unidade un
mrmid29drsacd;BATERIA 100A;un;;entradas:3,os_pecas:3,os_oleos:0;0;501d8d22-bbed-4595-968d-d38b9c7cc276;514;BATERIA 100A;un;Peças e componentes;nome_exato;certa;
mrjlsq0i1pxrn;BATERIA 150A;un;;entradas:1,os_pecas:2,os_oleos:0;0;75c824f7-d69f-4ef9-a6ae-aca954ab16a9;689;BATERIA 150A;un;Peças e componentes;nome_exato;certa;
mt0kftidc7jwq;BATERIA 65A;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 75c824f7 689 BATERIA 150A (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BATERIA), unidade un
mskjnziw75ohi;BICO INJETOR;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: 21e4c961 1335M544PE123 CHICOTE BICO INJETOR (un, Peças e componentes); 54dedbf1 1335M544PE92 BICO INJETOR CAT 0690 (un, Peças e componentes); 1e1a83ff 11134 BICO INJETOR R - 2128470 (un, Peças e componentes); aa43cc44 1075 Reparo do bico injetor (un, A classificar); d3f4e9ee 10111 BICO INJETOR - REF  320-0690 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BICO), unidade un"
msde7qbtmu0od;BLOCO DIVISOR DE FLUXO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Ferramentas e consumíveis (maioria dos insumos do ERP que comecam com BLOCO), unidade un
mtrb4keuuuhpi;BLOCO SILENCIADOR;un;;entradas:1,os_pecas:1,os_oleos:0;0;381b9c16-20ed-429c-b7bd-74892df5a59a;;BLOCO SILENCIADOR;un;Peças e componentes;nome_exato;certa;
mr9rz4mj6muttd3;BOMBA COMBUSTÍVEL ALTA;UN;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: e2e3f94d 1335M544PE182 BOMBA COMBUSTÍVEL (un, Combustível) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BOMBA), unidade un
mr9rz4mj7dqnpz8;BOMBA DIDRAULICA;UN;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: e482d5b8 1096 BOMBA DIREÇÃO HIDRAULICA (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BOMBA), unidade un
mrzc2uzlkfsiq;BOMBINA 24V;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BOMBINA), unidade un
mtrbb73gyx50v;BORDA CORTANTE RETRO 16 FUROS 3/4;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;ANTES DE CRIAR, conferir provavel par (nome quase igual): 985f3acf 1335M357 BORDA CORTANTE 16 FUROS 3/4 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BORDA), unidade un
mtrbec5za3wqa;BORDA CORTANTE T329197;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; borda cortante sem o codigo T329197 no ERP): 499fe5a0 BORDA CORTANTE (un, A classificar); b10639eb 389 BORDA CORTANTE MOTONIVELADORA 12H (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BORDA), unidade un"
mt0i8uequ02kx;BRAÇADEIRA 320C - B8;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BRACADEIRA), unidade un
