prestador_texto;n_linhas;soma_valor;erp_fornecedor_id;erp_razao_social;metodo;confianca;observacao
ATAÍDE;1;15400.00;9f4aa45f-a017-410f-9a82-a2445e851fdb;ATAIDE LOPES;evidencia_lancamento;certa;"unico Ataide do ERP, sem documento. O ERP tem o lancamento REFERENTE CONSERTO MOTOR DA PATROL 12H - 01 de R$ 15.400,00 (data_compra 17/08/2026) e a origem tem a OS-2026-0112 da Motoniveladora 12H - 01, CONCERTO DO MOTOR DA PATROL 12H, R$ 15.400,00 (19/08/2026): mesmo servico, mesmo valor"
AUTO ELETRICA AMILTON;1;230.00;;;sem_par;baixa;"NAO ESCOLHIDO. Candidatos por nome: 31f31fb4-67e3-4d72-be94-b3de619db48a Amilton Santos de Oliveira (unico lancamento no ERP e alimentacao de motoristas); 33389a80-eb3c-454b-81e1-8c58eee4b83a ADAMILTON MOTA DA CUNHA (compra de correia Bobcat); nenhum e auto eletrica. Sugestao: criar fornecedor AUTO ELETRICA AMILTON. OS-2026-0045, ARQUEAMENTO DO MOLEJO"
AUTO ELETRICA TEIXEIRA;1;6.00;dfb041b3-73bc-4707-b195-8b3ac021084f;M S TEIXEIRA;nome_fantasia;alta;"nome_fantasia AUTO ELETR. TEIXEIRA, com CNPJ; e o mesmo do fornecedor mrcb7u4otid05 da origem. Outros Teixeira do ERP sao pessoas fisicas. Valor de R$ 6,00 (SOLDA BRANA UTILIZADA NO MOTOR DE PARTIDA) parece baixo, conferir"
BORRACHARIA;1;20.00;;;sem_par;baixa;"NAO ESCOLHIDO, texto generico (OS-2026-0162, Motoniveladora 12H - 01, REMENDO NO PNEU, 14/09/2026). Candidatos: d0b3ac3e-d872-e359-2f91-9222e828cde9 BORRACHARIA MJ (com CNPJ; 2 lancamentos de conserto de pneu de carreta); a23ae93f-07c6-40f7-abd7-9f8cf35ee609 BORRACHARIA DO GATO (1 lancamento, pneu da moto Bros)"
JAPURÁ PNEUS;1;790.00;9fcb627c-d55a-4f7e-9021-1ed84f265461;JAPURA PNEUS S/A;nome_normalizado;alta;"nome normalizado igual (sem o S/A); com CNPJ; e o mesmo do fornecedor mrcba4wro0io5 da origem"
JOHN DEERE;1;19907.30;57c2f739-2b1e-43b6-a88a-3ee9bca8a2c8;JOHN DEERE;decisao_tiago;certa;"criado no ERP em 22/09/2026 pela decisao do fornecedores-de-para (mt08la2o1a1ge). Nome igual. NAO e a JD COMERCIO E IMPORTACAO LTDA"
NEGUINHO RADIADORES E AUTO ELETRICA;1;350.00;;;sem_par;baixa;"NAO ESCOLHIDO. 1) c63ff5d1-c56e-47d2-a1f2-237edc193035 NEGUINHO - GESSON - BALSA: o unico lancamento dele no ERP e ALIMENTACAO NEGUINHO BALSA, nao parece ser radiador. 2) radiadores do ERP: 1e243aa6-a940-409e-af51-725ca4924074 GUGA RADIADORES (conserto de radiador R$ 350,00 em 19/06/2026) e 06970635-125e-482c-a0a9-94fc3a313874 GUGU RADIADORES (4 servicos de radiador). A origem e LIMPEZA RADIADOR R$ 350,00 na OS-2026-0168 de 18/09/2026. Perguntar ao Tiago se Neguinho e o Guga/Gugu; senao criar fornecedor NEGUINHO RADIADORES E AUTO ELETRICA"
NISSEY CAMINHÕES LTDA;3;1973.76;35653ce4-5bff-4205-8a92-898c57b1cde8;NISSEY CAMINHOES LTDA;nome_normalizado;alta;"nome normalizado igual; com CNPJ. NISSEY MAQUINAS AGRICOLA (1abc3ed6) e outra empresa"
OFICINA;2;1400.00;;;sem_par;baixa;"NAO ESCOLHIDO, texto generico. As 2 linhas sao da OS-2026-0169 (Caminhao Plataforma SQR6E16, 18/09/2026) e descrevem MATERIAL, nao servico: VIGA I 3 X 2 3/8 (R$ 750,00) e CHAPA PRETA 1/4 3 X 1,20M (R$ 650,00). Fornecedores do ERP que comecam com OFICINA: a983e324 OFICINA CICLOTRON; 68fe45c5 OFICINA E AUTO PECAS SAO MARCOS; 859d99ce OFICINA MECANICA FAISCA; 8ca5024b OFICINA MOTO PECAS; df564470 OFICINA BEIJAMIM. Nenhum com evidencia. Precisa perguntar ao Tiago quem vendeu"
PODIUM AUTO CENTER;3;1560.00;e1f1974b-04df-4c73-9633-6f150af2561e;PODIUM AUTO CENTER;nome_exato;alta;"nome igual; ERP sem documento (a origem tem CNPJ no cadastro de fornecedores)"
